City,month,NO2
Valletta (Malta),2018-12-01,45.4
Amsterdam (Netherlands),2018-12-01,33.7
Oslo (Norway),2018-12-01,40.4
Warsaw (Poland),2018-12-01,29.9
Lisbon (Portugal),2018-12-01,39.1
Bucharest (Romania),2018-12-01,47.6
Stockholm (Sweden),2018-12-01,24.2
Ljubljana (Slovenia),2018-12-01,37.9
Bratislava (Slovakia),2018-12-01,27.1
Vienna (Austria),2019-01-01,26.3
Brussels (Belgium),2019-01-01,38.4
Sofia (Bulgaria),2019-01-01,31.1
Bern (Switzerland),2019-01-01,30.5
Nicosia (Cyprus),2019-01-01,38.3
Prague (Czech Republic),2019-01-01,26.9
Berlin (Germany),2019-01-01,31.1
Copenhagen (Denmark),2019-01-01,23.4
Tallinn (Estonia),2019-01-01,18.1
Athens (Greece),2019-01-01,34.3
Madrid (Spain),2019-01-01,54.1
EU27 (aggregate),2019-01-01,34.9
Helsinki (Finland),2019-01-01,28.0
Paris (France),2019-01-01,41.9
Zagreb (Croatia),2019-01-01,43.7
Budapest (Hungary),2019-01-01,35.5
Dublin (Ireland),2019-01-01,32.7
Reykjavik (Iceland),2019-01-01,16.5
Rome (Italy),2019-01-01,47.7
Vilnius (Lithuania),2019-01-01,25.5
Luxembourg (Luxembourg),2019-01-01,33.8
Riga (Latvia),2019-01-01,29.3
Valletta (Malta),2019-01-01,35.7
Amsterdam (Netherlands),2019-01-01,33.5
Oslo (Norway),2019-01-01,53.4
Warsaw (Poland),2019-01-01,32.9
Lisbon (Portugal),2019-01-01,37.5
Bucharest (Romania),2019-01-01,64.6
Stockholm (Sweden),2019-01-01,30.0
Ljubljana (Slovenia),2019-01-01,38.9
Bratislava (Slovakia),2019-01-01,28.2
Vienna (Austria),2019-02-01,32.7
Brussels (Belgium),2019-02-01,46.3
Sofia (Bulgaria),2019-02-01,28.7
Bern (Switzerland),2019-02-01,39.7
Nicosia (Cyprus),2019-02-01,31.6
Prague (Czech Republic),2019-02-01,36.7
Berlin (Germany),2019-02-01,42.3
Copenhagen (Denmark),2019-02-01,24.4
Tallinn (Estonia),2019-02-01,13.1
Athens (Greece),2019-02-01,33.8
Madrid (Spain),2019-02-01,54.8
EU27 (aggregate),2019-02-01,37.1
Helsinki (Finland),2019-02-01,19.6
Paris (France),2019-02-01,54.6
Zagreb (Croatia),2019-02-01,48.0
Budapest (Hungary),2019-02-01,41.8
Dublin (Ireland),2019-02-01,30.6
Reykjavik (Iceland),2019-02-01,14.5
Rome (Italy),2019-02-01,46.9
Vilnius (Lithuania),2019-02-01,21.4
Luxembourg (Luxembourg),2019-02-01,45.6
Riga (Latvia),2019-02-01,26.3
Amsterdam (Netherlands),2019-02-01,45.6
Oslo (Norway),2019-02-01,45.2
Warsaw (Poland),2019-02-01,33.5
Lisbon (Portugal),2019-02-01,39.1
Bucharest (Romania),2019-02-01,67.6
Stockholm (Sweden),2019-02-01,23.9
Ljubljana (Slovenia),2019-02-01,43.8
Bratislava (Slovakia),2019-02-01,32.6
Vienna (Austria),2019-03-01,26.5
Brussels (Belgium),2019-03-01,32.4
Sofia (Bulgaria),2019-03-01,26.9
Bern (Switzerland),2019-03-01,23.8
Nicosia (Cyprus),2019-03-01,27.1
Prague (Czech Republic),2019-03-01,24.9
Berlin (Germany),2019-03-01,28.6
Copenhagen (Denmark),2019-03-01,17.7
Tallinn (Estonia),2019-03-01,11.2
Athens (Greece),2019-03-01,36.7
Madrid (Spain),2019-03-01,35.5
EU27 (aggregate),2019-03-01,29.3
Helsinki (Finland),2019-03-01,19.4
Paris (France),2019-03-01,36.8
Zagreb (Croatia),2019-03-01,39.7
Budapest (Hungary),2019-03-01,32.0
Dublin (Ireland),2019-03-01,26.4
Reykjavik (Iceland),2019-03-01,7.5
Rome (Italy),2019-03-01,42.6
Vilnius (Lithuania),2019-03-01,19.3
Luxembourg (Luxembourg),2019-03-01,31.4
Riga (Latvia),2019-03-01,19.4
Amsterdam (Netherlands),2019-03-01,27.3
Oslo (Norway),2019-03-01,33.5
Warsaw (Poland),2019-03-01,36.9
Lisbon (Portugal),2019-03-01,27.6
Bucharest (Romania),2019-03-01,60.4
Stockholm (Sweden),2019-03-01,22.7
Ljubljana (Slovenia),2019-03-01,27.9
Bratislava (Slovakia),2019-03-01,25.7
Vienna (Austria),2019-04-01,22.4
Brussels (Belgium),2019-04-01,33.3
Sofia (Bulgaria),2019-04-01,21.3
Bern (Switzerland),2019-04-01,21.1
Nicosia (Cyprus),2019-04-01,23.9
Prague (Czech Republic),2019-04-01,28.6
Berlin (Germany),2019-04-01,24.3
Copenhagen (Denmark),2019-04-01,24.2
Tallinn (Estonia),2019-04-01,20.9
Athens (Greece),2019-04-01,40.0
Madrid (Spain),2019-04-01,26.4
EU27 (aggregate),2019-04-01,29.2
Helsinki (Finland),2019-04-01,28.1
Paris (France),2019-04-01,39.7
Zagreb (Croatia),2019-04-01,35.5
Budapest (Hungary),2019-04-01,29.2
Dublin (Ireland),2019-04-01,39.1
Reykjavik (Iceland),2019-04-01,6.2
Rome (Italy),2019-04-01,39.5
Vilnius (Lithuania),2019-04-01,20.6
Luxembourg (Luxembourg),2019-04-01,29.6
Riga (Latvia),2019-04-01,26.0
Amsterdam (Netherlands),2019-04-01,25.6
Oslo (Norway),2019-04-01,28.4
Warsaw (Poland),2019-04-01,29.9
Lisbon (Portugal),2019-04-01,18.4
Bucharest (Romania),2019-04-01,59.4
Stockholm (Sweden),2019-04-01,27.6
Ljubljana (Slovenia),2019-04-01,23.4
Bratislava (Slovakia),2019-04-01,23.4
Vienna (Austria),2019-05-01,18.6
Brussels (Belgium),2019-05-01,32.7
Sofia (Bulgaria),2019-05-01,16.4
Bern (Switzerland),2019-05-01,17.3
Nicosia (Cyprus),2019-05-01,22.2
Prague (Czech Republic),2019-05-01,26.3
Berlin (Germany),2019-05-01,24.5
Copenhagen (Denmark),2019-05-01,16.4
Tallinn (Estonia),2019-05-01,14.6
Athens (Greece),2019-05-01,39.7
Madrid (Spain),2019-05-01,21.7
EU27 (aggregate),2019-05-01,23.8
Helsinki (Finland),2019-05-01,19.6
Paris (France),2019-05-01,33.5
Zagreb (Croatia),2019-05-01,28.0
Budapest (Hungary),2019-05-01,25.5
Dublin (Ireland),2019-05-01,26.9
Reykjavik (Iceland),2019-05-01,6.7
Rome (Italy),2019-05-01,31.8
Vilnius (Lithuania),2019-05-01,17.2
Luxembourg (Luxembourg),2019-05-01,23.8
Riga (Latvia),2019-05-01,19.9
Valletta (Malta),2019-05-01,27.7
Amsterdam (Netherlands),2019-05-01,22.0
Oslo (Norway),2019-05-01,20.7
Warsaw (Poland),2019-05-01,31.1
Lisbon (Portugal),2019-05-01,18.8
Stockholm (Sweden),2019-05-01,22.7
Ljubljana (Slovenia),2019-05-01,17.6
Bratislava (Slovakia),2019-05-01,19.3
Vienna (Austria),2019-06-01,18.9
Brussels (Belgium),2019-06-01,26.4
Sofia (Bulgaria),2019-06-01,19.2
Bern (Switzerland),2019-06-01,15.5
Nicosia (Cyprus),2019-06-01,19.9
Prague (Czech Republic),2019-06-01,22.8
Berlin (Germany),2019-06-01,26.5
Copenhagen (Denmark),2019-06-01,18.9
Tallinn (Estonia),2019-06-01,9.6
Athens (Greece),2019-06-01,34.0
Madrid (Spain),2019-06-01,23.3
EU27 (aggregate),2019-06-01,22.4
Helsinki (Finland),2019-06-01,17.0
Paris (France),2019-06-01,30.7
Zagreb (Croatia),2019-06-01,29.1
Budapest (Hungary),2019-06-01,23.7
Dublin (Ireland),2019-06-01,17.9
Reykjavik (Iceland),2019-06-01,5.0
Rome (Italy),2019-06-01,35.5
Vilnius (Lithuania),2019-06-01,15.1
Luxembourg (Luxembourg),2019-06-01,23.3
Riga (Latvia),2019-06-01,19.1
Valletta (Malta),2019-06-01,37.4
Amsterdam (Netherlands),2019-06-01,23.7
Oslo (Norway),2019-06-01,21.3
Warsaw (Poland),2019-06-01,22.3
Lisbon (Portugal),2019-06-01,16.5
Stockholm (Sweden),2019-06-01,19.7
Ljubljana (Slovenia),2019-06-01,15.7
Bratislava (Slovakia),2019-06-01,16.7
Vienna (Austria),2019-07-01,19.0
Brussels (Belgium),2019-07-01,21.2
Sofia (Bulgaria),2019-07-01,17.7
Bern (Switzerland),2019-07-01,15.0
Nicosia (Cyprus),2019-07-01,16.5
Prague (Czech Republic),2019-07-01,23.1
Berlin (Germany),2019-07-01,21.6
Copenhagen (Denmark),2019-07-01,14.3
Tallinn (Estonia),2019-07-01,7.2
Athens (Greece),2019-07-01,31.0
Madrid (Spain),2019-07-01,24.8
EU27 (aggregate),2019-07-01,22.1
Helsinki (Finland),2019-07-01,14.2
Paris (France),2019-07-01,29.9
Zagreb (Croatia),2019-07-01,28.5
Budapest (Hungary),2019-07-01,25.8
Dublin (Ireland),2019-07-01,19.1
Reykjavik (Iceland),2019-07-01,4.9
Rome (Italy),2019-07-01,31.7
Vilnius (Lithuania),2019-07-01,16.6
Luxembourg (Luxembourg),2019-07-01,23.8
Riga (Latvia),2019-07-01,12.0
Valletta (Malta),2019-07-01,28.5
Amsterdam (Netherlands),2019-07-01,22.3
Oslo (Norway),2019-07-01,16.1
Warsaw (Poland),2019-07-01,26.7
Lisbon (Portugal),2019-07-01,14.6
Bucharest (Romania),2019-07-01,57.4
Stockholm (Sweden),2019-07-01,17.1
Ljubljana (Slovenia),2019-07-01,14.6
Bratislava (Slovakia),2019-07-01,17.1
Vienna (Austria),2019-08-01,18.6
Brussels (Belgium),2019-08-01,23.0
Sofia (Bulgaria),2019-08-01,22.2
Bern (Switzerland),2019-08-01,16.6
Nicosia (Cyprus),2019-08-01,16.8
Prague (Czech Republic),2019-08-01,25.2
Berlin (Germany),2019-08-01,30.6
Copenhagen (Denmark),2019-08-01,20.0
Tallinn (Estonia),2019-08-01,7.1
Athens (Greece),2019-08-01,25.0
Madrid (Spain),2019-08-01,24.9
EU27 (aggregate),2019-08-01,23.7
Helsinki (Finland),2019-08-01,17.9
Paris (France),2019-08-01,28.5
Zagreb (Croatia),2019-08-01,26.7
Budapest (Hungary),2019-08-01,28.9
Dublin (Ireland),2019-08-01,16.7
Reykjavik (Iceland),2019-08-01,5.3
Rome (Italy),2019-08-01,26.9
Vilnius (Lithuania),2019-08-01,22.9
Luxembourg (Luxembourg),2019-08-01,23.8
Riga (Latvia),2019-08-01,24.1
Valletta (Malta),2019-08-01,29.0
Amsterdam (Netherlands),2019-08-01,24.7
Oslo (Norway),2019-08-01,20.4
Warsaw (Poland),2019-08-01,32.3
Lisbon (Portugal),2019-08-01,14.8
Bucharest (Romania),2019-08-01,58.1
Stockholm (Sweden),2019-08-01,18.9
Ljubljana (Slovenia),2019-08-01,14.3
Bratislava (Slovakia),2019-08-01,18.8
Vienna (Austria),2019-09-01,20.2
Brussels (Belgium),2019-09-01,24.5
Sofia (Bulgaria),2019-09-01,27.4
Bern (Switzerland),2019-09-01,18.6
Nicosia (Cyprus),2019-09-01,20.9
Prague (Czech Republic),2019-09-01,25.6
Berlin (Germany),2019-09-01,29.4
Copenhagen (Denmark),2019-09-01,17.7
Tallinn (Estonia),2019-09-01,10.4
Athens (Greece),2019-09-01,32.9
Madrid (Spain),2019-09-01,30.9
EU27 (aggregate),2019-09-01,25.9
Helsinki (Finland),2019-09-01,17.9
Paris (France),2019-09-01,29.2
Zagreb (Croatia),2019-09-01,31.6
Budapest (Hungary),2019-09-01,30.0
Dublin (Ireland),2019-09-01,22.1
Reykjavik (Iceland),2019-09-01,4.6
Rome (Italy),2019-09-01,35.1
Vilnius (Lithuania),2019-09-01,20.6
Luxembourg (Luxembourg),2019-09-01,26.0
Riga (Latvia),2019-09-01,22.4
Valletta (Malta),2019-09-01,30.1
Amsterdam (Netherlands),2019-09-01,25.6
Oslo (Norway),2019-09-01,24.4
Warsaw (Poland),2019-09-01,28.5
Lisbon (Portugal),2019-09-01,24.7
Bucharest (Romania),2019-09-01,57.7
Stockholm (Sweden),2019-09-01,20.1
Ljubljana (Slovenia),2019-09-01,17.5
Bratislava (Slovakia),2019-09-01,20.5
Vienna (Austria),2019-10-01,26.5
Brussels (Belgium),2019-10-01,25.5
Sofia (Bulgaria),2019-10-01,42.5
Bern (Switzerland),2019-10-01,21.8
Nicosia (Cyprus),2019-10-01,31.2
Prague (Czech Republic),2019-10-01,28.0
Berlin (Germany),2019-10-01,31.4
Copenhagen (Denmark),2019-10-01,21.0
